//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(0))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = CCD cts

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(0))
P,CCD cts
 0.00000E+00, 2.98102E+01
 1.00000E+00, 2.58380E+01
 2.00000E+00, 3.27077E+01
 3.00000E+00, 0.00000E+00
 4.00000E+00, 3.18330E+01
 5.00000E+00, 0.00000E+00
 6.00000E+00, 3.69834E+01
 7.00000E+00, 2.96015E+01
 8.00000E+00, 0.00000E+00
 9.00000E+00, 0.00000E+00
 1.00000E+01, 3.27223E+01
 1.10000E+01, 0.00000E+00
 1.20000E+01, 3.21986E+01
 1.30000E+01, 4.07475E+01
 1.40000E+01, 0.00000E+00
 1.50000E+01, 2.85105E+01
 1.60000E+01, 0.00000E+00
 1.70000E+01, 2.26600E+01
 1.80000E+01, 0.00000E+00
 1.90000E+01, 3.70877E+01
 2.00000E+01, 3.12272E+01
 2.10000E+01, 4.04011E+01
 2.20000E+01, 0.00000E+00
 2.30000E+01, 2.89947E+01
 2.40000E+01, 0.00000E+00
 2.50000E+01, 2.11748E+01
 2.60000E+01, 0.00000E+00
 2.70000E+01, 2.54112E+01
 2.80000E+01, 2.46900E+01
 2.90000E+01, 4.05166E+01
 3.00000E+01, 3.21582E+01
 3.10000E+01, 2.37648E+01
 3.20000E+01, 2.50109E+01
 3.30000E+01, 2.34185E+01
 3.40000E+01, 2.63590E+01
 3.50000E+01, 0.00000E+00
 3.60000E+01, 4.29830E+01
 3.70000E+01, 2.66530E+01
 3.80000E+01, 2.01533E+01
 3.90000E+01, 0.00000E+00
 4.00000E+01, 3.71670E+01
 4.10000E+01, 2.44182E+01
 4.20000E+01, 1.95015E+01
 4.30000E+01, 2.70534E+01
 4.40000E+01, 2.94886E+01
 4.50000E+01, 0.00000E+00
 4.60000E+01, 2.87432E+01
 4.70000E+01, 0.00000E+00
 4.80000E+01, 2.31898E+01
 4.90000E+01, 3.13855E+01
 5.00000E+01, 3.58649E+01
 5.10000E+01, 3.44839E+01
 5.20000E+01, 3.28986E+01
 5.30000E+01, 3.98449E+01
 5.40000E+01, 0.00000E+00
 5.50000E+01, 3.03346E+01
 5.60000E+01, 2.86088E+01
 5.70000E+01, 2.58113E+01
 5.80000E+01, 0.00000E+00
 5.90000E+01, 0.00000E+00
 6.00000E+01, 3.38825E+01
 6.10000E+01, 3.22568E+01
 6.20000E+01, 0.00000E+00
 6.30000E+01, 2.45734E+01
 6.40000E+01, 2.31191E+01
 6.50000E+01, 2.64492E+01
 6.60000E+01, 0.00000E+00
 6.70000E+01, 2.60377E+01
 6.80000E+01, 0.00000E+00
 6.90000E+01, 0.00000E+00
 7.00000E+01, 2.75940E+01
 7.10000E+01, 2.31935E+01
 7.20000E+01, 3.48695E+01
 7.30000E+01, 2.01856E+01
 7.40000E+01, 2.44241E+01
 7.50000E+01, 2.15524E+01
 7.60000E+01, 4.05873E+01
 7.70000E+01, 0.00000E+00
 7.80000E+01, 0.00000E+00
 7.90000E+01, 0.00000E+00
 8.00000E+01, 0.00000E+00
 8.10000E+01, 2.26236E+01
 8.20000E+01, 3.53940E+01
 8.30000E+01, 0.00000E+00
 8.40000E+01, 2.87898E+01
 8.50000E+01, 0.00000E+00
 8.60000E+01, 4.01284E+01
 8.70000E+01,-1.17020E+01
 8.80000E+01, 2.47503E+01
 8.90000E+01, 0.00000E+00
 9.00000E+01, 2.59949E+01
 9.10000E+01, 3.27232E+01
 9.20000E+01, 3.96440E+01
 9.30000E+01, 1.79451E+01
 9.40000E+01, 2.98833E+01
 9.50000E+01, 3.98215E+01
 9.60000E+01, 0.00000E+00
 9.70000E+01, 2.40632E+01
 9.80000E+01, 3.46048E+01
 9.90000E+01, 3.42907E+01
 1.00000E+02, 3.83214E+01
 1.01000E+02, 3.55647E+01
 1.02000E+02, 2.68922E+01
 1.03000E+02, 0.00000E+00
 1.04000E+02,-1.14783E+01
 1.05000E+02, 0.00000E+00
 1.06000E+02, 3.37736E+01
 1.07000E+02, 2.77669E+01
 1.08000E+02, 2.16289E+01
 1.09000E+02, 0.00000E+00
 1.10000E+02, 3.07565E+01
 1.11000E+02, 3.98685E+01
 1.12000E+02, 2.57554E+01
 1.13000E+02, 2.41560E+01
 1.14000E+02, 2.77342E+01
 1.15000E+02, 1.94489E+01
 1.16000E+02, 4.10651E+01
 1.17000E+02, 2.13050E+01
 1.18000E+02, 0.00000E+00
 1.19000E+02, 3.35699E+01
 1.20000E+02, 3.16875E+01
 1.21000E+02, 2.00988E+01
 1.22000E+02, 0.00000E+00
 1.23000E+02, 3.04229E+01
 1.24000E+02, 3.25728E+01
 1.25000E+02, 2.66521E+01
 1.26000E+02, 0.00000E+00
 1.27000E+02, 2.31147E+01
 1.28000E+02, 2.72672E+01
 1.29000E+02, 2.60768E+01
 1.30000E+02, 2.68802E+01
 1.31000E+02, 0.00000E+00
 1.32000E+02, 2.39883E+01
 1.33000E+02, 3.41946E+01
 1.34000E+02, 0.00000E+00
 1.35000E+02, 2.66195E+01
 1.36000E+02, 2.87568E+01
 1.37000E+02, 2.89644E+01
 1.38000E+02, 2.66523E+01
 1.39000E+02, 3.02591E+01
 1.40000E+02, 3.01832E+01
 1.41000E+02, 6.60231E+01
 1.42000E+02, 0.00000E+00
 1.43000E+02, 3.43611E+01
 1.44000E+02, 2.60665E+01
 1.45000E+02, 2.95734E+01
 1.46000E+02, 2.84531E+01
 1.47000E+02, 2.68735E+01
 1.48000E+02, 4.18539E+01
 1.49000E+02, 0.00000E+00
 1.50000E+02, 2.19881E+01
 1.51000E+02, 3.79805E+01
 1.52000E+02, 2.07334E+01
 1.53000E+02, 3.32988E+01
 1.54000E+02, 0.00000E+00
 1.55000E+02, 0.00000E+00
