//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(4))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = rel. 1/cm

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(4))
P,rel. 1/cm
 0.00000E+00, 3.42421E+03
 1.00000E+00, 3.42664E+03
 2.00000E+00, 3.42396E+03
 3.00000E+00, 0.00000E+00
 4.00000E+00, 3.42598E+03
 5.00000E+00, 0.00000E+00
 6.00000E+00, 3.42361E+03
 7.00000E+00, 3.42564E+03
 8.00000E+00, 0.00000E+00
 9.00000E+00, 0.00000E+00
 1.00000E+01, 3.42563E+03
 1.10000E+01, 0.00000E+00
 1.20000E+01, 3.42510E+03
 1.30000E+01, 3.42481E+03
 1.40000E+01, 0.00000E+00
 1.50000E+01, 3.42253E+03
 1.60000E+01, 0.00000E+00
 1.70000E+01, 3.42885E+03
 1.80000E+01, 0.00000E+00
 1.90000E+01, 3.42345E+03
 2.00000E+01, 3.42637E+03
 2.10000E+01, 3.42802E+03
 2.20000E+01, 0.00000E+00
 2.30000E+01, 3.42737E+03
 2.40000E+01, 0.00000E+00
 2.50000E+01, 3.43047E+03
 2.60000E+01, 0.00000E+00
 2.70000E+01, 3.42768E+03
 2.80000E+01, 3.42836E+03
 2.90000E+01, 3.42588E+03
 3.00000E+01, 3.42708E+03
 3.10000E+01, 3.42761E+03
 3.20000E+01, 3.42894E+03
 3.30000E+01, 3.42979E+03
 3.40000E+01, 3.42713E+03
 3.50000E+01, 0.00000E+00
 3.60000E+01, 3.42260E+03
 3.70000E+01, 3.42574E+03
 3.80000E+01, 3.42707E+03
 3.90000E+01, 0.00000E+00
 4.00000E+01, 3.42633E+03
 4.10000E+01, 3.43116E+03
 4.20000E+01, 3.42806E+03
 4.30000E+01, 3.42746E+03
 4.40000E+01, 3.42535E+03
 4.50000E+01, 0.00000E+00
 4.60000E+01, 3.42706E+03
 4.70000E+01, 0.00000E+00
 4.80000E+01, 3.42889E+03
 4.90000E+01, 3.42622E+03
 5.00000E+01, 3.42595E+03
 5.10000E+01, 3.42806E+03
 5.20000E+01, 3.42312E+03
 5.30000E+01, 3.42620E+03
 5.40000E+01, 0.00000E+00
 5.50000E+01, 3.42319E+03
 5.60000E+01, 3.42657E+03
 5.70000E+01, 3.42776E+03
 5.80000E+01, 0.00000E+00
 5.90000E+01, 0.00000E+00
 6.00000E+01, 3.42175E+03
 6.10000E+01, 3.42530E+03
 6.20000E+01, 0.00000E+00
 6.30000E+01, 3.42568E+03
 6.40000E+01, 3.42672E+03
 6.50000E+01, 3.42770E+03
 6.60000E+01, 0.00000E+00
 6.70000E+01, 3.42679E+03
 6.80000E+01, 0.00000E+00
 6.90000E+01, 0.00000E+00
 7.00000E+01, 3.42841E+03
 7.10000E+01, 3.42704E+03
 7.20000E+01, 3.42392E+03
 7.30000E+01, 3.42922E+03
 7.40000E+01, 3.42825E+03
 7.50000E+01, 3.42948E+03
 7.60000E+01, 3.42588E+03
 7.70000E+01, 0.00000E+00
 7.80000E+01, 0.00000E+00
 7.90000E+01, 0.00000E+00
 8.00000E+01, 0.00000E+00
 8.10000E+01, 3.42944E+03
 8.20000E+01, 3.42127E+03
 8.30000E+01, 0.00000E+00
 8.40000E+01, 3.42442E+03
 8.50000E+01, 0.00000E+00
 8.60000E+01, 3.42318E+03
 8.70000E+01, 3.43426E+03
 8.80000E+01, 3.42665E+03
 8.90000E+01, 0.00000E+00
 9.00000E+01, 3.42950E+03
 9.10000E+01, 3.42538E+03
 9.20000E+01, 3.42264E+03
 9.30000E+01, 3.42990E+03
 9.40000E+01, 3.42463E+03
 9.50000E+01, 3.42235E+03
 9.60000E+01, 0.00000E+00
 9.70000E+01, 3.43006E+03
 9.80000E+01, 3.42243E+03
 9.90000E+01, 3.42718E+03
 1.00000E+02, 3.42215E+03
 1.01000E+02, 3.42899E+03
 1.02000E+02, 3.42741E+03
 1.03000E+02, 0.00000E+00
 1.04000E+02, 3.43462E+03
 1.05000E+02, 0.00000E+00
 1.06000E+02, 3.42590E+03
 1.07000E+02, 3.42460E+03
 1.08000E+02, 3.43080E+03
 1.09000E+02, 0.00000E+00
 1.10000E+02, 3.42575E+03
 1.11000E+02, 3.42743E+03
 1.12000E+02, 3.42662E+03
 1.13000E+02, 3.42802E+03
 1.14000E+02, 3.42713E+03
 1.15000E+02, 3.42990E+03
 1.16000E+02, 3.42265E+03
 1.17000E+02, 3.42940E+03
 1.18000E+02, 0.00000E+00
 1.19000E+02, 3.42351E+03
 1.20000E+02, 3.42608E+03
 1.21000E+02, 3.42691E+03
 1.22000E+02, 0.00000E+00
 1.23000E+02, 3.42776E+03
 1.24000E+02, 3.42609E+03
 1.25000E+02, 3.43032E+03
 1.26000E+02, 0.00000E+00
 1.27000E+02, 3.42932E+03
 1.28000E+02, 3.42816E+03
 1.29000E+02, 3.42510E+03
 1.30000E+02, 3.42763E+03
 1.31000E+02, 0.00000E+00
 1.32000E+02, 3.42806E+03
 1.33000E+02, 3.42339E+03
 1.34000E+02, 0.00000E+00
 1.35000E+02, 3.42455E+03
 1.36000E+02, 3.42842E+03
 1.37000E+02, 3.42736E+03
 1.38000E+02, 3.42649E+03
 1.39000E+02, 3.42651E+03
 1.40000E+02, 3.42701E+03
 1.41000E+02, 3.42701E+03
 1.42000E+02, 0.00000E+00
 1.43000E+02, 3.42432E+03
 1.44000E+02, 3.42801E+03
 1.45000E+02, 3.42850E+03
 1.46000E+02, 3.42691E+03
 1.47000E+02, 3.42673E+03
 1.48000E+02, 3.42426E+03
 1.49000E+02, 0.00000E+00
 1.50000E+02, 3.42857E+03
 1.51000E+02, 3.42214E+03
 1.52000E+02, 3.42952E+03
 1.53000E+02, 3.42477E+03
 1.54000E+02, 0.00000E+00
 1.55000E+02, 0.00000E+00
 1.56000E+02, 3.42228E+03
 1.57000E+02, 3.42333E+03
 1.58000E+02, 3.42242E+03
 1.59000E+02, 3.42202E+03
 1.60000E+02, 0.00000E+00
 1.61000E+02, 3.42535E+03
 1.62000E+02, 3.42824E+03
 1.63000E+02, 3.42806E+03
 1.64000E+02, 3.42764E+03
 1.65000E+02, 3.42691E+03
 1.66000E+02, 3.42682E+03
 1.67000E+02, 3.42999E+03
 1.68000E+02, 0.00000E+00
 1.69000E+02, 0.00000E+00
 1.70000E+02, 3.42326E+03
 1.71000E+02, 3.42823E+03
 1.72000E+02, 3.42580E+03
 1.73000E+02, 0.00000E+00
 1.74000E+02, 3.42415E+03
 1.75000E+02, 0.00000E+00
 1.76000E+02, 3.42915E+03
 1.77000E+02, 3.42432E+03
 1.78000E+02, 0.00000E+00
 1.79000E+02, 3.42594E+03
 1.80000E+02, 3.43225E+03
 1.81000E+02, 3.42314E+03
 1.82000E+02, 0.00000E+00
 1.83000E+02, 3.42503E+03
 1.84000E+02, 3.42543E+03
 1.85000E+02, 3.42853E+03
 1.86000E+02, 0.00000E+00
 1.87000E+02, 3.42331E+03
 1.88000E+02, 3.42330E+03
 1.89000E+02, 0.00000E+00
 1.90000E+02, 3.42759E+03
 1.91000E+02, 3.42518E+03
 1.92000E+02, 3.42165E+03
 1.93000E+02, 0.00000E+00
 1.94000E+02, 3.42244E+03
 1.95000E+02, 3.42626E+03
 1.96000E+02, 0.00000E+00
 1.97000E+02, 3.42628E+03
 1.98000E+02, 3.42262E+03
 1.99000E+02, 3.42161E+03
 2.00000E+02, 0.00000E+00
 2.01000E+02, 3.42436E+03
 2.02000E+02, 3.42266E+03
 2.03000E+02, 0.00000E+00
 2.04000E+02, 3.42398E+03
 2.05000E+02, 3.42039E+03
 2.06000E+02, 3.42136E+03
 2.07000E+02, 0.00000E+00
 2.08000E+02, 3.42458E+03
 2.09000E+02, 3.42205E+03
 2.10000E+02, 3.42862E+03
 2.11000E+02, 3.42467E+03
 2.12000E+02, 0.00000E+00
 2.13000E+02, 3.42078E+03
