 ,Label,Area,Perim.,BX,BY,Width,Height
1,Nacl-sigma99-simon-x30-3.jpg:0001-0077,0.052,0.916,3.216,0.211,0.229,0.256
2,Nacl-sigma99-simon-x30-3.jpg:0002-0102,0.091,1.524,6.687,0.256,0.374,0.392
3,Nacl-sigma99-simon-x30-3.jpg:0003-0152,0.063,1.196,2.524,0.489,0.308,0.366
4,Nacl-sigma99-simon-x30-3.jpg:0004-0141,0.043,0.857,3.819,0.511,0.264,0.225
5,Nacl-sigma99-simon-x30-3.jpg:0005-0150,0.031,0.757,3.643,0.551,0.176,0.220
6,Nacl-sigma99-simon-x30-3.jpg:0006-0164,0.065,1.076,4.749,0.564,0.304,0.322
7,Nacl-sigma99-simon-x30-3.jpg:0007-0152,0.027,0.679,3.449,0.573,0.176,0.194
8,Nacl-sigma99-simon-x30-3.jpg:0008-0178,0.071,1.102,1.229,0.612,0.330,0.348
9,Nacl-sigma99-simon-x30-3.jpg:0009-0172,0.041,0.902,3.868,0.639,0.264,0.242
10,Nacl-sigma99-simon-x30-3.jpg:0010-0206,0.086,1.462,6.564,0.714,0.370,0.392
11,Nacl-sigma99-simon-x30-3.jpg:0011-0210,0.069,1.215,5.251,0.758,0.344,0.335
12,Nacl-sigma99-simon-x30-3.jpg:0012-0222,0.088,1.193,0.806,0.793,0.374,0.370
13,Nacl-sigma99-simon-x30-3.jpg:0013-0227,0.081,1.301,4.612,0.819,0.348,0.361
14,Nacl-sigma99-simon-x30-3.jpg:0014-0216,0.028,0.729,5.938,0.859,0.189,0.189
15,Nacl-sigma99-simon-x30-3.jpg:0015-0236,0.058,0.998,4.101,0.894,0.304,0.291
16,Nacl-sigma99-simon-x30-3.jpg:0016-0239,0.044,0.862,5.639,0.916,0.282,0.273
17,Nacl-sigma99-simon-x30-3.jpg:0017-0242,0.062,1.006,1.185,0.925,0.313,0.282
18,Nacl-sigma99-simon-x30-3.jpg:0018-0256,0.068,1.070,3.471,0.956,0.278,0.344
19,Nacl-sigma99-simon-x30-3.jpg:0019-0247,0.048,0.953,3.749,0.960,0.229,0.260
20,Nacl-sigma99-simon-x30-3.jpg:0020-0255,0.062,1.019,1.709,0.991,0.278,0.269
21,Nacl-sigma99-simon-x30-3.jpg:0021-0261,0.052,1.058,6.405,0.996,0.282,0.313
22,Nacl-sigma99-simon-x30-3.jpg:0022-0268,0.018,0.571,2.502,1.110,0.159,0.145
23,Nacl-sigma99-simon-x30-3.jpg:0023-0273,0.026,0.727,6.185,1.110,0.233,0.189
24,Nacl-sigma99-simon-x30-3.jpg:0024-0295,0.082,1.161,7.652,1.110,0.370,0.383
25,Nacl-sigma99-simon-x30-3.jpg:0025-0281,0.041,0.865,4.216,1.119,0.264,0.238
26,Nacl-sigma99-simon-x30-3.jpg:0026-0282,0.029,0.835,6.626,1.123,0.207,0.242
27,Nacl-sigma99-simon-x30-3.jpg:0027-0293,0.065,1.202,0.612,1.132,0.269,0.322
28,Nacl-sigma99-simon-x30-3.jpg:0028-0298,0.071,1.208,2.872,1.132,0.335,0.366
29,Nacl-sigma99-simon-x30-3.jpg:0029-0296,0.036,0.881,6.802,1.189,0.229,0.233
30,Nacl-sigma99-simon-x30-3.jpg:0030-0318,0.098,1.362,5.969,1.194,0.414,0.414
31,Nacl-sigma99-simon-x30-3.jpg:0031-0292,0.015,0.535,3.744,1.220,0.159,0.137
32,Nacl-sigma99-simon-x30-3.jpg:0032-0303,0.026,0.760,3.577,1.229,0.194,0.211
33,Nacl-sigma99-simon-x30-3.jpg:0033-0304,0.040,0.945,7.004,1.233,0.216,0.216
34,Nacl-sigma99-simon-x30-3.jpg:0034-0330,0.073,1.098,3.273,1.278,0.339,0.352
35,Nacl-sigma99-simon-x30-3.jpg:0035-0341,0.127,1.938,5.229,1.291,0.396,0.423
36,Nacl-sigma99-simon-x30-3.jpg:0036-0347,0.063,1.183,3.040,1.352,0.278,0.352
37,Nacl-sigma99-simon-x30-3.jpg:0037-0359,0.094,1.326,2.132,1.383,0.392,0.396
38,Nacl-sigma99-simon-x30-3.jpg:0038-0363,0.092,1.370,3.736,1.405,0.383,0.392
39,Nacl-sigma99-simon-x30-3.jpg:0039-0370,0.074,1.299,6.661,1.458,0.300,0.344
